iter	Passed	Remaining
1163	32760	670860
1164	32790	670871
1165	32815	670778
1166	32839	670659
1167	32862	670529
1168	32883	670353
1169	32908	670269
1170	32932	670143
1171	32957	670051
1172	32983	669985
1173	33002	669785
1174	33026	669657
1175	33046	669474
1176	33067	669292
1177	33087	669112
1178	33108	668941
1179	33128	668746
1180	33157	668741
1181	33183	668674
1182	33212	668652
1183	33236	668541
1184	33261	668459
1185	33284	668330
1186	33307	668189
1187	33328	668019
1188	33349	667853
1189	33371	667711
1190	33411	667916
1191	33464	668384
1192	33493	668379
1193	33526	668457
1194	33554	668431
1195	33583	668409
1196	33631	668774
1197	33698	669522
1198	33731	669603
1199	33766	669698
1200	33794	669661
1201	33817	669540
1202	33849	669581
1203	33884	669689
1204	33910	669625
1205	33933	669501
1206	33956	669373
1207	33980	669264
1208	34001	669095
1209	34021	668904
1210	34043	668753
1211	34064	668576
1212	34084	668394
1213	34107	668267
1214	34131	668156
1215	34160	668150
1216	34185	668065
1217	34209	667947
1218	34230	667785
1219	34251	667615
1220	34273	667475
1221	34294	667319
1222	34315	667152
1223	34336	666985
1224	34361	666889
1225	34383	666747
1226	34406	666613
1227	34432	666548
1228	34455	666436
1229	34487	666486
1230	34511	666380
1231	34532	666205
1232	34556	666106
1233	34582	666044
1234	34605	665902
1235	34626	665747
1236	34648	665610
1237	34668	665425
1238	34692	665309
1239	34712	665145
1240	34736	665028
1241	34756	664853
1242	34778	664713
1243	34802	664597
1244	34823	664441
1245	34841	664225
1246	34862	664067
1247	34883	663898
1248	34905	663763
1249	34925	663577
1250	34949	663489
1251	34975	663424
1252	34997	663270
1253	35017	663093
1254	35036	662909
1255	35060	662796
1256	35082	662658
1257	35104	662523
1258	35163	663075
1259	35192	663064
1260	35221	663064
1261	35342	664788
1262	35393	665184
1263	35419	665121
1264	35445	665050
1265	35468	664928
1266	35491	664809
1267	35517	664743
1268	35541	664639
1269	35569	664624
1270	35595	664543
1271	35624	664546
1272	35652	664510
1273	35675	664395
1274	35702	664348
1275	35727	664271
