iter	Passed	Remaining
559	15046	11822
560	15074	11796
561	15102	11770
562	15129	11743
563	15155	11716
564	15182	11689
565	15208	11661
566	15235	11634
567	15258	11604
568	15284	11577
569	15307	11548
570	15335	11521
571	15361	11494
572	15387	11466
573	15414	11439
574	15439	11411
575	15464	11383
576	15487	11354
577	15514	11327
578	15539	11299
579	15564	11270
580	15587	11241
581	15613	11214
582	15637	11184
583	15661	11156
584	15686	11128
585	15712	11100
586	15739	11074
587	15766	11047
588	15790	11018
589	15834	11003
590	15858	10974
591	15882	10945
592	15908	10918
593	15933	10890
594	15958	10862
595	15982	10834
596	16009	10807
597	16034	10779
598	16060	10751
599	16084	10722
600	16110	10695
601	16136	10668
602	16162	10640
603	16185	10611
604	16213	10585
605	16239	10558
606	16267	10532
607	16298	10507
608	16324	10480
609	16352	10454
610	16377	10426
611	16403	10399
612	16433	10374
613	16459	10347
614	16482	10318
615	16518	10296
616	16553	10275
617	16580	10248
618	16605	10220
619	16632	10194
620	16659	10167
621	16686	10140
622	16710	10112
623	16736	10084
624	16761	10056
625	16786	10028
626	16813	10002
627	16839	9975
628	16863	9946
629	16888	9918
630	16914	9891
631	16941	9864
632	16969	9838
633	16992	9809
634	17014	9779
635	17040	9752
636	17067	9726
637	17094	9699
638	17120	9671
639	17147	9645
640	17175	9619
641	17202	9592
642	17226	9564
643	17252	9537
644	17277	9509
645	17305	9483
646	17334	9457
647	17363	9432
648	17391	9405
649	17415	9377
650	17442	9350
651	17465	9322
652	17492	9295
653	17516	9267
654	17543	9240
655	17571	9214
656	17598	9187
657	17624	9160
658	17647	9131
659	17673	9104
660	17700	9077
661	17725	9049
662	17752	9023
663	17778	8996
664	17806	8970
665	17832	8943
666	17859	8916
667	17885	8889
668	17913	8862
669	17937	8834
670	17963	8807
671	17987	8779
672	18011	8751
673	18034	8722
674	18062	8696
675	18088	8669
676	18115	8642
677	18142	8616
678	18167	8588
679	18194	8561
680	18220	8535
681	18246	8508
682	18272	8480
683	18300	8454
684	18323	8426
685	18352	8400
686	18377	8372
687	18406	8347
688	18434	8320
689	18460	8293
690	18485	8266
691	18513	8239
692	18539	8213
693	18566	8186
694	18591	8158
695	18614	8130
696	18639	8102
697	18665	8076
698	18692	8049
699	18719	8022
700	18741	7993
701	18767	7966
702	18795	7940
703	18822	7913
704	18847	7886
705	18872	7859
706	18900	7832
707	18927	7806
708	18953	7779
709	18979	7752
710	19004	7724
711	19028	7697
712	19052	7669
713	19079	7642
714	19106	7616
715	19133	7589
716	19161	7563
717	19185	7535
718	19213	7508
719	19240	7482
720	19266	7455
721	19292	7428
722	19320	7402
723	19345	7374
724	19370	7347
725	19396	7320
726	19423	7293
727	19450	7267
728	19478	7241
729	19505	7214
730	19531	7187
731	19556	7160
732	19581	7132
733	19610	7106
734	19636	7079
735	19662	7052
736	19690	7026
737	19717	7000
738	19745	6973
739	19769	6946
740	19796	6919
741	19821	6892
742	19845	6864
